collocation,count,count_nested,length,lambda,z
karim khan,1,0,2,10.675053045230179,4.941515910870311
kept self-control,1,0,2,10.675053045230179,4.941515910870311
law enforcement,1,0,2,10.675053045230179,4.941515910870311
legendary football,1,0,2,10.675053045230179,4.941515910870311
lot depends,1,0,2,10.675053045230179,4.941515910870311
luxembourg's readiness,1,0,2,10.675053045230179,4.941515910870311
majesty's subjects,1,0,2,10.675053045230179,4.941515910870311
many ways,1,0,2,10.675053045230179,4.941515910870311
mario draghi,1,0,2,10.675053045230179,4.941515910870311
maryna ostrovska,1,0,2,10.675053045230179,4.941515910870311
melitopol resident,1,0,2,10.675053045230179,4.941515910870311
minus tens,1,0,2,10.675053045230179,4.941515910870311
mlrs brigade,1,0,2,10.675053045230179,4.941515910870311
mobile firing,1,0,2,10.675053045230179,4.941515910870311
most cynical,1,0,2,10.675053045230179,4.941515910870311
much-needed tanks,1,0,2,10.675053045230179,4.941515910870311
night before,1,0,2,10.675053045230179,4.941515910870311
offer restrictions,1,0,2,10.675053045230179,4.941515910870311
offered mediation,1,0,2,10.675053045230179,4.941515910870311
oleksandr syrsky,1,0,2,10.675053045230179,4.941515910870311
olympic bodies,1,0,2,10.675053045230179,4.941515910870311
particularly accurate,1,0,2,10.675053045230179,4.941515910870311
physical transportation,1,0,2,10.675053045230179,4.941515910870311
place here,1,0,2,10.675053045230179,4.941515910870311
positive vote,1,0,2,10.675053045230179,4.941515910870311
positively accepted,1,0,2,10.675053045230179,4.941515910870311
presidential couple,1,0,2,10.675053045230179,4.941515910870311
pushed away,1,0,2,10.675053045230179,4.941515910870311
put morality,1,0,2,10.675053045230179,4.941515910870311
quantitative advantage,1,0,2,10.675053045230179,4.941515910870311
received assurances,1,0,2,10.675053045230179,4.941515910870311
recep tayyip,1,0,2,10.675053045230179,4.941515910870311
red cross,1,0,2,10.675053045230179,4.941515910870311
resumed television,1,0,2,10.675053045230179,4.941515910870311
roman radavchuk,1,0,2,10.675053045230179,4.941515910870311
sham referenda,1,0,2,10.675053045230179,4.941515910870311
skillfully turned,1,0,2,10.675053045230179,4.941515910870311
snake island,1,0,2,10.675053045230179,4.941515910870311
something else,1,0,2,10.675053045230179,4.941515910870311
sometimes quantitative,1,0,2,10.675053045230179,4.941515910870311
taras sal,1,0,2,10.675053045230179,4.941515910870311
tayyip erdogan,1,0,2,10.675053045230179,4.941515910870311
television broadcasting,1,0,2,10.675053045230179,4.941515910870311
tetiana kuzubova,1,0,2,10.675053045230179,4.941515910870311
threat arose,1,0,2,10.675053045230179,4.941515910870311
torturer receives,1,0,2,10.675053045230179,4.941515910870311
unhesitating provision,1,0,2,10.675053045230179,4.941515910870311
united24 ambassadors,1,0,2,10.675053045230179,4.941515910870311
usd 1,1,0,2,10.675053045230179,4.941515910870311
valeriy onul,1,0,2,10.675053045230179,4.941515910870311
vessels connected,1,0,2,10.675053045230179,4.941515910870311
villages flooded,1,0,2,10.675053045230179,4.941515910870311
votes collected,1,0,2,10.675053045230179,4.941515910870311
vyacheslav iarovyi,1,0,2,10.675053045230179,4.941515910870311
weapon supplied,1,0,2,10.675053045230179,4.941515910870311
we’re consolidating,1,0,2,10.675053045230179,4.941515910870311
wife agata,1,0,2,10.675053045230179,4.941515910870311
without powerful,1,0,2,10.675053045230179,4.941515910870311
wonderful irises,1,0,2,10.675053045230179,4.941515910870311
world's focus,1,0,2,10.675053045230179,4.941515910870311
yellow wheat,1,0,2,10.675053045230179,4.941515910870311
because we,1,0,2,4.919007215916724,4.926489916074601
people of,8,0,2,1.95929294709999,4.9174923597672855
are helping,2,0,2,3.5598352035621645,4.917281011404519
great work,1,0,2,4.760922370178815,4.916250590605211
if we,1,0,2,5.766583375895233,4.912550874495334
why we,1,0,2,5.766583375895233,4.912550874495334
defense of,6,0,2,2.3609546249860878,4.909442223005491
asked how,1,0,2,8.2764640987081,4.903738460492665
both houses,1,0,2,8.2764640987081,4.903738460492665
both parties,1,0,2,8.2764640987081,4.903738460492665
collected more,1,0,2,8.2764640987081,4.903738460492665
decisions regarding,1,0,2,8.2764640987081,4.903738460492665
ensures counteraction,1,0,2,8.2764640987081,4.903738460492665
even greater,1,0,2,8.2764640987081,4.903738460492665
first ambassador,1,0,2,8.2764640987081,4.903738460492665
first days,1,0,2,8.2764640987081,4.903738460492665
first lady,1,0,2,8.2764640987081,4.903738460492665
held three,1,0,2,8.2764640987081,4.903738460492665
investigating war,1,0,2,8.2764640987081,4.903738460492665
iris-t air,1,0,2,8.2764640987081,4.903738460492665
liberate more,1,0,2,8.2764640987081,4.903738460492665
neat address,1,0,2,8.2764640987081,4.903738460492665
only if,1,0,2,8.2764640987081,4.903738460492665
post-war reconstruction,1,0,2,8.2764640987081,4.903738460492665
preparing more,1,0,2,8.2764640987081,4.903738460492665
really dedicated,1,0,2,8.2764640987081,4.903738460492665
really fruitful,1,0,2,8.2764640987081,4.903738460492665
really willing,1,0,2,8.2764640987081,4.903738460492665
regarding humanitarian,1,0,2,8.2764640987081,4.903738460492665
service vessels,1,0,2,8.2764640987081,4.903738460492665
sheer power,1,0,2,8.2764640987081,4.903738460492665
strong start,1,0,2,8.2764640987081,4.903738460492665
what happened,1,0,2,8.2764640987081,4.903738460492665
words about,1,0,2,8.2764640987081,4.903738460492665
working steadily,1,0,2,8.2764640987081,4.903738460492665
who made,5,0,2,3.746863047012419,4.899735476301211
our intelligence,4,0,2,3.122726970121049,4.8877630819583615
missile defense,1,0,2,4.875382925131944,4.887437179486285
sincerely help,1,0,2,4.875382925131944,4.887437179486285
supporting common,1,0,2,4.875382925131944,4.887437179486285
on behalf,3,0,2,7.44050490744397,4.885192032709161
country as,1,0,2,4.508821572461209,4.8845626929707855
could help,1,0,2,5.722959123841174,4.878736643684788
if russian,1,0,2,5.722959123841174,4.878736643684788
increase defense,1,0,2,5.722959123841174,4.878736643684788
largest defense,1,0,2,5.722959123841174,4.878736643684788
have chosen,1,0,2,5.722959123841173,4.878736643684787
supporting ukraine's,1,0,2,5.722959123841173,4.878736643684787
trying one,1,0,2,5.130037932520403,4.877966122120558
its efforts,1,0,2,4.713155161712575,4.872822926184216
such an,1,0,2,4.5299598695033465,4.87161395382697
such military,1,0,2,4.5299598695033465,4.87161395382697
ukrainian donbas,1,0,2,4.5299598695033465,4.87161395382697
president erdoğan,3,0,2,7.407029192009696,4.864378382555524
to address,4,0,2,3.847397426092115,4.862266100380908
european politicians,1,0,2,4.610262095291326,4.859896611227683
was today,1,0,2,4.5515607353827114,4.858070784225853
his leadership,1,0,2,4.5515607353827106,4.858070784225852
his resilience,1,0,2,4.5515607353827106,4.858070784225852
his unwavering,1,0,2,4.5515607353827106,4.858070784225852
new prime,1,0,2,4.471488101048012,4.840286739242574
it happen,2,0,2,7.572322232393765,4.833644660752015
among other,1,0,2,8.109271221539506,4.828442912480709
competition commission,1,0,2,8.109271221539506,4.828442912480709
constant attention,1,0,2,8.109271221539506,4.828442912480709
enforcement officers,1,0,2,8.109271221539506,4.828442912480709
fundamental decisions,1,0,2,8.109271221539506,4.828442912480709
give up,1,0,2,8.109271221539506,4.828442912480709
has led,1,0,2,8.109271221539506,4.828442912480709
matter what,1,0,2,8.109271221539506,4.828442912480709
military aid,1,0,2,8.109271221539506,4.828442912480709
necessary weapons,1,0,2,8.109271221539506,4.828442912480709
needed resilience,1,0,2,8.109271221539506,4.828442912480709
parliamentary decision,1,0,2,8.109271221539506,4.828442912480709
police officers,1,0,2,8.109271221539506,4.828442912480709
positions forward,1,0,2,8.109271221539506,4.828442912480709
setting up,1,0,2,8.109271221539506,4.828442912480709
special fast-track,1,0,2,8.109271221539506,4.828442912480709
special services,1,0,2,8.109271221539506,4.828442912480709
special sign,1,0,2,8.109271221539506,4.828442912480709
special tribunal,1,0,2,8.109271221539506,4.828442912480709
speeding up,1,0,2,8.109271221539506,4.828442912480709
standing up,1,0,2,8.109271221539506,4.828442912480709
symbolic decision,1,0,2,8.109271221539506,4.828442912480709
unwavering firmness,1,0,2,8.109271221539506,4.828442912480709
unwavering striving,1,0,2,8.109271221539506,4.828442912480709
was thinking,1,0,2,8.109271221539506,4.828442912480709
worked properly,1,0,2,8.109271221539506,4.828442912480709
zealand was,1,0,2,8.109271221539506,4.828442912480709
minister of,5,0,2,2.6540555988363597,4.823162456250886
defend freedom,1,0,2,4.431721429919933,4.817819977537566
international security,1,0,2,4.431721429919933,4.817819977537566
one thousand,1,0,2,5.64100275450488,4.814712511304567
first european,1,0,2,4.560112515239679,4.813726768496091
than one,1,0,2,4.79342647830186,4.813356853700578
personally to,4,0,2,2.9680088489131236,4.813146839652757
also be,1,0,2,4.401008843232403,4.799841055650829
air defense,1,0,2,4.623929298632549,4.790720197647604
another russian,1,0,2,4.623929298632549,4.790720197647604
when your,1,0,2,4.623929298632549,4.790720197647604
this meeting,2,0,2,3.8110268497881132,4.7870601136990745
with president,2,0,2,3.370966124367821,4.785524469810008
defends true,1,0,2,5.0183945864600785,4.780738240887153
ukrainian initiative,1,0,2,4.404657605792299,4.7804220621698335
russian soldiers,1,0,2,4.512345287405384,4.769335721056336
discussions need,1,0,2,7.966031566127373,4.760496406309823
flooded by,1,0,2,7.966031566127373,4.760496406309823
intelligence directorate,1,0,2,7.966031566127373,4.760496406309823
introduced against,1,0,2,7.966031566127373,4.760496406309823
large-scale military,1,0,2,7.966031566127373,4.760496406309823
multi-million army,1,0,2,7.966031566127373,4.760496406309823
occupier's army,1,0,2,7.966031566127373,4.760496406309823
other directions,1,0,2,7.966031566127373,4.760496406309823
other elements,1,0,2,7.966031566127373,4.760496406309823
other things,1,0,2,7.966031566127373,4.760496406309823
practical result,1,0,2,7.966031566127373,4.760496406309823
sanctions matters,1,0,2,7.966031566127373,4.760496406309823
shaman fighters,1,0,2,7.966031566127373,4.760496406309823
sincere commitment,1,0,2,7.966031566127373,4.760496406309823
started working,1,0,2,7.966031566127373,4.760496406309823
step by,1,0,2,7.966031566127373,4.760496406309823
stopped working,1,0,2,7.966031566127373,4.760496406309823
these processes,1,0,2,7.966031566127373,4.760496406309823
has already,1,0,2,4.443068851151175,4.758183938408326
already made,1,0,2,4.443068851151174,4.758183938408325
european decisions,1,0,2,4.443068851151174,4.758183938408325
positions and,4,0,2,3.3857953262310505,4.73452553777053
this direction,2,0,2,4.910060486777063,4.728571900896669
from the,6,0,2,2.540178927873178,4.721070049704614
them for,4,0,2,3.3754268760449855,4.7201783336831635
worked for,4,0,2,3.3754268760449855,4.7201783336831635
they have,1,0,2,4.541972813039387,4.714259627393397
special european,1,0,2,4.392919251731472,4.711240621925665
also grateful,2,0,2,3.36956683777555,4.706943069874139
assistance projects,1,0,2,7.840729592130522,4.698795718508895
chernihiv region,1,0,2,7.840729592130522,4.698795718508895
diplomatic day,1,0,2,7.840729592130522,4.698795718508895
dnipropetrovsk region,1,0,2,7.840729592130522,4.698795718508895
main intelligence,1,0,2,7.840729592130522,4.698795718508895
professional day,1,0,2,7.840729592130522,4.698795718508895
treated them,1,0,2,7.840729592130522,4.698795718508895
their work,2,0,2,3.251980140574015,4.69583096051286
work at,1,0,2,4.293292830567756,4.693917451074948
memory to,4,0,2,4.435064618326821,4.693063996988888
italy for,4,0,2,3.7120439982068762,4.69292084736885
did those,1,0,2,4.917893242397642,4.692116458836944
on whom,1,0,2,4.917893242397642,4.692116458836944
this decision,2,0,2,3.610215665424353,4.686666390687093
sincere and,4,0,2,3.134336054380945,4.683243554605238
russia not,1,0,2,4.259900746509445,4.673007786140462
help defend,1,0,2,4.283018449196727,4.668723755435637
every nation,4,0,2,6.985906088253854,4.668521064481649
a historic,1,0,2,4.886501364909753,4.664239832985551
a path,1,0,2,4.886501364909753,4.664239832985551
a policy,1,0,2,4.886501364909753,4.664239832985551
a quick,1,0,2,4.886501364909753,4.664239832985551
a true,1,0,2,4.886501364909753,4.664239832985551
at energy,1,0,2,4.240387932285864,4.6605087473922735
already joined,1,0,2,4.29982882866546,4.659925002419447
on duty,1,0,2,5.428858180736161,4.646301492947863
on values,1,0,2,5.428858180736161,4.646301492947863
absolutely sincere,1,0,2,7.72936510670072,4.642392210824297
an analogue,1,0,2,7.72936510670072,4.642392210824297
an answer,1,0,2,7.72936510670072,4.642392210824297
an aspect,1,0,2,7.72936510670072,4.642392210824297
an example,1,0,2,7.72936510670072,4.642392210824297
an honest,1,0,2,7.72936510670072,4.642392210824297
an online,1,0,2,7.72936510670072,4.642392210824297
bravely holding,1,0,2,7.72936510670072,4.642392210824297
country expel,1,0,2,7.72936510670072,4.642392210824297
do something,1,0,2,7.72936510670072,4.642392210824297
emmanuel personally,1,0,2,7.72936510670072,4.642392210824297
goliath has,1,0,2,7.72936510670072,4.642392210824297
government officials,1,0,2,7.72936510670072,4.642392210824297
heroically holding,1,0,2,7.72936510670072,4.642392210824297
important function,1,0,2,7.72936510670072,4.642392210824297
important symbolic,1,0,2,7.72936510670072,4.642392210824297
personally patronize,1,0,2,7.72936510670072,4.642392210824297
work round,1,0,2,7.72936510670072,4.642392210824297
announced a,1,0,2,4.856056662013976,4.637120508392017
just a,1,0,2,4.856056662013976,4.637120508392017
us get,1,0,2,4.856056662013975,4.637120508392016
important it,1,0,2,4.230633314109436,4.636258129945773
important such,1,0,2,4.230633314109436,4.636258129945773
everyone whose,3,0,2,4.537956357845294,4.635829315996715
with their,3,0,2,2.678191047324521,4.6320475914369155
friends in,3,0,2,2.8342428568444706,4.631763764480242
support of,9,0,2,1.698481993984815,4.629304196979289
ensures this,2,0,2,3.6808208281123997,4.6285420988288255
a difficult,1,0,2,5.397466322659527,4.6210881300372915
a place,1,0,2,5.397466322659527,4.6210881300372915
a thousand,1,0,2,5.397466322659527,4.6210881300372915
the international,7,0,2,2.266340951686715,4.620536813920009
who fights,18,0,2,6.6068691403282,4.606445335153148
become a,1,0,2,5.3670216391804155,4.596570210091869
ensured a,1,0,2,5.3670216391804155,4.596570210091869
my state,1,0,2,5.3670216391804155,4.596570210091869
signed a,1,0,2,5.3670216391804155,4.596570210091869
us along,1,0,2,5.367021639180415,4.596570210091868
male defenders,2,0,2,7.174654698615019,4.596397091171063
new assistance,1,0,2,4.168789808826733,4.596019816302729
state leaders,1,0,2,4.168789808826733,4.596019816302729
world leaders,1,0,2,4.168789808826733,4.596019816302729
all the,30,0,2,0.9271142770029694,4.593288846436306
the way,6,0,2,2.6685501388771145,4.5924393082206745
be broken,1,0,2,7.629142778542071,4.590505103980648
be calm,1,0,2,7.629142778542071,4.590505103980648
be no,1,0,2,7.629142778542071,4.590505103980648
by ensuring,1,0,2,7.629142778542071,4.590505103980648
by spreading,1,0,2,7.629142778542071,4.590505103980648
by water,1,0,2,7.629142778542071,4.590505103980648
energy system,1,0,2,7.629142778542071,4.590505103980648
principled condemnation,1,0,2,7.629142778542071,4.590505103980648
principled statements,1,0,2,7.629142778542071,4.590505103980648
russia launched,1,0,2,7.629142778542071,4.590505103980648
who’re helping,1,0,2,7.629142778542071,4.590505103980648
a friend,1,0,2,4.549889774888091,4.58838830974541
again on,1,0,2,4.797790639291084,4.584998253168385
exactly on,1,0,2,4.797790639291084,4.584998253168385
we can,1,0,2,4.797790639291084,4.584998253168385
we see,1,0,2,4.797790639291084,4.584998253168385
our energy,4,0,2,2.6869773062798976,4.581223709075272
country today,1,0,2,4.171653635241462,4.58116028801395
against russian,1,0,2,4.255926063928338,4.5807546998736495
unwavering defense,1,0,2,4.255926063928338,4.5807546998736495
this position,2,0,2,3.443021072119674,4.578844808644884
netherlands defends,1,0,2,4.395703859981335,4.575566417813569
helps bring,1,0,2,5.337468400573672,4.572710666969682
resilience ukraine,2,0,2,4.108760889728906,4.568888010712549
i sincerely,2,0,2,3.807649656681681,4.568194002410429
russian army,1,0,2,4.201911943285727,4.566618915661729
their continued,1,0,2,4.769871663501084,4.559924736558527
their courage,1,0,2,4.769871663501084,4.559924736558527
their historic,1,0,2,4.769871663501084,4.559924736558527
their interest,1,0,2,4.769871663501084,4.559924736558527
present state,1,0,2,4.519445052570236,4.559816081871819
than a,1,0,2,4.519445052570236,4.559816081871819
us restore,1,0,2,4.519445052570236,4.559816081871819
involved in,2,0,2,4.100072805317188,4.559432852264839
agreed on,1,0,2,5.308755655307092,4.549475287457773
definitely on,1,0,2,5.308755655307092,4.549475287457773
hold on,1,0,2,5.308755655307092,4.549475287457773
we agreed,1,0,2,5.308755655307091,4.549475287457772
we saw,1,0,2,5.308755655307091,4.549475287457772
accustom russia,1,0,2,7.53803211144723,4.542498316072979
also kept,1,0,2,7.53803211144723,4.542498316072979
cannot be,1,0,2,7.53803211144723,4.542498316072979
clearance assistance,1,0,2,7.53803211144723,4.542498316072979
defensive assistance,1,0,2,7.53803211144723,4.542498316072979
eighth sanctions,1,0,2,7.53803211144723,4.542498316072979
eu sanctions,1,0,2,7.53803211144723,4.542498316072979
jill biden,1,0,2,7.53803211144723,4.542498316072979
powerful sanctions,1,0,2,7.53803211144723,4.542498316072979
sixth sanctions,1,0,2,7.53803211144723,4.542498316072979
which closely,1,0,2,7.53803211144723,4.542498316072979
which coordinates,1,0,2,7.53803211144723,4.542498316072979
which he,1,0,2,7.53803211144723,4.542498316072979
which promises,1,0,2,7.53803211144723,4.542498316072979
which recognizes,1,0,2,7.53803211144723,4.542498316072979
also at,1,0,2,4.10195925548302,4.534618656243165
helps maintain,1,0,2,4.489891775113927,4.531995020981572
helps restore,1,0,2,4.489891775113927,4.531995020981572
their activity,1,0,2,5.280836698949999,4.526832429378473
their positive,1,0,2,5.280836698949999,4.526832429378473
their quite,1,0,2,5.280836698949999,4.526832429378473
their respective,1,0,2,5.280836698949999,4.526832429378473
on february,1,0,2,4.329827890111289,4.512259239224058
your colleagues,1,0,2,4.716246801109538,4.511595182704726
your economic,1,0,2,4.716246801109538,4.511595182704726
your interest,1,0,2,4.716246801109538,4.511595182704726
your resistance,1,0,2,4.716246801109538,4.511595182704726
your response,1,0,2,4.716246801109538,4.511595182704726
your society,1,0,2,4.716246801109538,4.511595182704726
present on,1,0,2,4.461178990986946,4.50488709081238
soldiers on,1,0,2,4.461178990986946,4.50488709081238
we were,1,0,2,4.461178990986946,4.50488709081238
in particular,6,0,2,6.62236174229616,4.503704946616394
was one,1,0,2,4.173969500776624,4.501253067329976
russia will,1,0,2,4.071430978465992,4.498374377309619
early as,1,0,2,7.454511594326264,4.497852752584366
from around,1,0,2,7.454511594326264,4.497852752584366
from irpin,1,0,2,7.454511594326264,4.497852752584366
from khortytsia,1,0,2,7.454511594326264,4.497852752584366
from moldova,1,0,2,7.454511594326264,4.497852752584366
minister bennett,1,0,2,7.454511594326264,4.497852752584366
minister justin,1,0,2,7.454511594326264,4.497852752584366
minister mario,1,0,2,7.454511594326264,4.497852752584366
win as,1,0,2,7.454511594326264,4.497852752584366
of ours,4,0,2,4.2473623432744105,4.496121140008234
the principled,6,0,2,2.5013457912534864,4.494900948087995
your extraordinary,1,0,2,5.2272118754405295,4.483209102501701
your land,1,0,2,5.2272118754405295,4.483209102501701
your wife,1,0,2,5.2272118754405295,4.483209102501701
a clear,1,0,2,4.298435973784659,4.4819225690450155
which such,1,0,2,4.039299700283198,4.476056969961808
states for,5,0,2,2.3051273133572243,4.475603696570076
everything that,2,0,2,3.258841040328008,4.475476547920809
fighting for,4,0,2,2.7559528850232184,4.473641624962534
to be,4,0,2,2.6227570048680238,4.47328622653731
this initiative,2,0,2,3.2997797000920364,4.470185741544947
supported our,3,0,2,3.071022685245464,4.467595555869216
the united,23,0,2,6.384054632191283,4.464706318202579
making every,1,0,2,5.201429994262192,4.462176109597321
stance on,2,0,2,6.946906313007773,4.457245156339301
aid from,1,0,2,7.3774116257100575,4.456142089169102
as always,1,0,2,7.3774116257100575,4.456142089169102
as early,1,0,2,7.3774116257100575,4.456142089169102
as ourselves,1,0,2,7.3774116257100575,4.456142089169102
as soon,1,0,2,7.3774116257100575,4.456142089169102
at least,1,0,2,7.3774116257100575,4.456142089169102
at preserving,1,0,2,7.3774116257100575,4.456142089169102
at various,1,0,2,7.3774116257100575,4.456142089169102
away from,1,0,2,7.3774116257100575,4.456142089169102
but i'm,1,0,2,7.3774116257100575,4.456142089169102
but remember,1,0,2,7.3774116257100575,4.456142089169102
international committee,1,0,2,7.3774116257100575,4.456142089169102
international conversations,1,0,2,7.3774116257100575,4.456142089169102
international olympic,1,0,2,7.3774116257100575,4.456142089169102
prime ministers,1,0,2,7.3774116257100575,4.456142089169102
radavchuk from,1,0,2,7.3774116257100575,4.456142089169102
same understanding,1,0,2,7.3774116257100575,4.456142089169102
water from,1,0,2,7.3774116257100575,4.456142089169102
after a,1,0,2,4.267991232039313,4.4524017690524405
entire state,1,0,2,4.267991232039313,4.4524017690524405
us fight,1,0,2,4.267991232039313,4.4524017690524405
us protect,1,0,2,4.267991232039313,4.4524017690524405
defense package,1,0,2,4.015721909713852,4.445211833902204
fulfill their,1,0,2,5.176289222042603,4.441630222701798
their lives,2,0,2,6.918193567741191,4.439568777295519
friend of,4,0,2,4.185817355425566,4.431449953446181
in which,2,0,2,3.688385260874326,4.428242993338957
assistance we,1,0,2,4.0310079329021935,4.427547760821538
together we,1,0,2,4.0310079329021935,4.427547760821538
your companies,1,0,2,4.3796350944741524,4.42750175504688
your great,1,0,2,4.3796350944741524,4.42750175504688
support already,2,0,2,3.055185679182142,4.427470542717397
helps protect,1,0,2,4.238437935150095,4.4236546935938
even in,2,0,2,3.512004033071354,4.421643396239322
willingness to,10,0,2,6.405659554459417,4.420827625523314
not be,1,0,2,3.9803199826629356,4.4201084457213975
which today,1,0,2,3.9803199826629356,4.4201084457213975
decision to,3,0,2,3.6687486039444384,4.4170315615511155
activity now,1,0,2,7.305813714944306,4.417013354935573
creates new,1,0,2,7.305813714944306,4.417013354935573
new decree,1,0,2,7.305813714944306,4.417013354935573
new solutions,1,0,2,7.305813714944306,4.417013354935573
new zealand,1,0,2,7.305813714944306,4.417013354935573
promises not,1,0,2,7.305813714944306,4.417013354935573
promoting new,1,0,2,7.305813714944306,4.417013354935573
state awards,1,0,2,7.305813714944306,4.417013354935573
state border,1,0,2,7.305813714944306,4.417013354935573
state bureau,1,0,2,7.305813714944306,4.417013354935573
state since,1,0,2,7.305813714944306,4.417013354935573
today means,1,0,2,7.305813714944306,4.417013354935573
today resumed,1,0,2,7.305813714944306,4.417013354935573
turkish president,1,0,2,7.305813714944306,4.417013354935573
will enhance,1,0,2,7.305813714944306,4.417013354935573
will significantly,1,0,2,7.305813714944306,4.417013354935573
world bank,1,0,2,7.305813714944306,4.417013354935573
our heroes,10,0,2,6.392882622208541,4.412063022041184
supported this,2,0,2,3.312814575886148,4.411063089653675
czech partners,1,0,2,5.127808121827155,4.401913253034568
ukraine both,1,0,2,4.593446559637497,4.400138193489277
sanctions have,1,0,2,4.030729361969267,4.39957575782042
decision on,1,0,2,4.209725131584788,4.39564231905851
we must,1,0,2,4.209725131584788,4.39564231905851
we would,1,0,2,4.209725131584788,4.39564231905851
defends justice,1,0,2,4.062325921943404,4.391408895307497
will not,1,0,2,3.93657060010855,4.388247146939798
those europeans,1,0,2,5.104411731268632,4.382702402392856
ukraine membership,1,0,2,5.104411731268632,4.382702402392856
ukraine stands,1,0,2,5.104411731268632,4.382702402392856
and personally,4,0,2,2.6989848739335454,4.38217452157566
aimed at,1,0,2,7.238983374353138,4.38017181126417
price at,1,0,2,7.238983374353138,4.38017181126417
such appeals,1,0,2,7.238983374353138,4.38017181126417
three international,1,0,2,7.238983374353138,4.38017181126417
ukrainian david,1,0,2,7.238983374353138,4.38017181126417
ukrainian orthodox,1,0,2,7.238983374353138,4.38017181126417
ukrainian prosecutors,1,0,2,7.238983374353138,4.38017181126417
in different,2,0,2,4.535965547303087,4.375457769213202
in exchanges,2,0,2,4.535965547303087,4.375457769213202
occupiers that,2,0,2,3.1474749755026243,4.373915386334195
a meeting,1,0,2,4.097625886072492,4.369589948144656
their clear,1,0,2,4.181806116912711,4.368328449684708
their efforts,1,0,2,4.181806116912711,4.368328449684708
their financial,1,0,2,4.181806116912711,4.368328449684708
who works,5,0,2,2.310609870651518,4.366522262530854
endure it,1,0,2,7.176324031965048,4.3453692701476365
states jill,1,0,2,7.176324031965048,4.3453692701476365
wartime it,1,0,2,7.176324031965048,4.3453692701476365
ukraine with,3,0,2,2.4955491797378717,4.343185680898412
support announced,1,0,2,4.526336424663693,4.338805572970426
with andrzej,1,0,2,4.526336424663693,4.338805572970426
with modern,1,0,2,4.526336424663693,4.338805572970426
with whom,1,0,2,4.526336424663693,4.338805572970426
do we,1,0,2,3.919643022025727,4.337752977220117
in such,3,0,2,2.609853595528896,4.333001714664576
at such,1,0,2,3.8786785956291236,4.332472454455275
those russians,2,0,2,6.737246034261255,4.327586523114238
with demining,1,0,2,5.037301654740116,4.327447302860603
with israeli,1,0,2,5.037301654740116,4.327447302860603
to protect,3,0,2,3.5923376750810467,4.325930759206209
to strengthen,3,0,2,3.5923376750810467,4.325930759206209
who defend,4,0,2,2.7544879164557874,4.317657561476841
your entire,1,0,2,4.128181176724474,4.315664043666831
european leaders,1,0,2,3.8718279046699333,4.315251381973482
free world,1,0,2,7.11734452721573,4.312395059968275
help convince,1,0,2,7.11734452721573,4.312395059968275
help promote,1,0,2,7.11734452721573,4.312395059968275
his constant,1,0,2,7.11734452721573,4.312395059968275
his inspired,1,0,2,7.11734452721573,4.312395059968275
his majesty's,1,0,2,7.11734452721573,4.312395059968275
his staff,1,0,2,7.11734452721573,4.312395059968275
not alone,1,0,2,7.11734452721573,4.312395059968275
not delaying,1,0,2,7.11734452721573,4.312395059968275
not excess,1,0,2,7.11734452721573,4.312395059968275
not forget,1,0,2,7.11734452721573,4.312395059968275
not give,1,0,2,7.11734452721573,4.312395059968275
not hesitating,1,0,2,7.11734452721573,4.312395059968275
not postpone,1,0,2,7.11734452721573,4.312395059968275
ramstein today,1,0,2,7.11734452721573,4.312395059968275
sea will,1,0,2,7.11734452721573,4.312395059968275
thankful today,1,0,2,7.11734452721573,4.312395059968275
positions in,2,0,2,3.3111922540875236,4.309089460933034
the army,5,0,2,2.9519501338145515,4.308096642551843
its way,1,0,2,3.8650219375455013,4.2983027175275685
the ukrainian,7,0,2,1.991452978157755,4.291682426974732
commission on,1,0,2,4.008914985557636,4.2813253232422666
canadian friends,1,0,2,7.061635652009534,4.2810690016598585
consider friends,1,0,2,7.061635652009534,4.2810690016598585
croatian friends,1,0,2,7.061635652009534,4.2810690016598585
is bringing,1,0,2,4.463397131773425,4.281038047610717
is over,1,0,2,4.463397131773425,4.281038047610717
is ready,1,0,2,4.463397131773425,4.281038047610717
is true,1,0,2,4.463397131773425,4.281038047610717
is truly,1,0,2,4.463397131773425,4.281038047610717
all of,22,0,2,0.9876132879698103,4.280104214658706
is approaching,1,0,2,4.974362420344113,4.27543411432215
is currently,1,0,2,4.974362420344113,4.27543411432215
is why,1,0,2,4.974362420344113,4.27543411432215
today it,1,0,2,3.807080375275774,4.266114938869239
initiative is,1,0,2,4.443256780753077,4.2625049380451125
still is,1,0,2,4.443256780753077,4.2625049380451125
truth is,1,0,2,4.443256780753077,4.2625049380451125
a decision,1,0,2,3.9304323897264,4.259592274088709
bulgarian people,1,0,2,4.954222088832747,4.258752914647546
caring people,1,0,2,4.954222088832747,4.258752914647546
estonian people,1,0,2,4.954222088832747,4.258752914647546
french people,1,0,2,4.954222088832747,4.258752914647546
result is,1,0,2,4.954222088832747,4.258752914647546
union is,1,0,2,4.954222088832747,4.258752914647546
i believe,4,0,2,6.359706944725538,4.257426264201207
already home,1,0,2,7.0088528751423524,4.251235908232732
already implementing,1,0,2,7.0088528751423524,4.251235908232732
already managed,1,0,2,7.0088528751423524,4.251235908232732
already shown,1,0,2,7.0088528751423524,4.251235908232732
